1 Agatha's Soul Cauldron
1 Altar of Dementia
1 Altar of the Brood
1 An Offer You Can't Refuse
1 Angel of Suffering
1 Arcane Denial
1 Arcane Signet
"1 Ashiok, Dream Render"
1 Assassin's Trophy
1 Basking Broodscale
1 Bloodchief Ascension
1 Bojuka Bog
"1 Boseiju, Who Endures"
1 Bramble Familiar
1 Breeding Pool
1 Cankerbloom
1 Cold-Eyed Selkie
1 Command Tower
1 Conduit of Worlds
1 Danny Pink
1 Deathrite Shaman
1 Deepmuck Desperado
1 Didn't Say Please
1 Dreamroot Cascade
1 Drowned Catacomb
1 Evolution Witness
1 Fabled Passage
1 Fathom Mage

1 Freestrider Lookout
1 Generous Patron
1 Glen Elendra Archmage
1 Glowing One
1 Guardian Project
1 Gyre Sage
1 Hardened Scales
1 Hedge Shredder
1 Herd Baloth
1 Hinterland Harbor

1 Kami of Whispered Hopes
1 Kodama of the West Tree
1 Memory Erosion
1 Mesmeric Orb
1 Mindcrank
1 Mirelurk Queen
1 Misty Rainforest
1 Morphic Pool
"1 Muldrotha, the Gravetide"
1 Nature's Lore
1 Nuclear Fallout
1 Overgrown Tomb
1 Polluted Delta
1 Psychic Corrosion
1 Rampant Frogantua
1 Rejuvenating Springs
1 Repulsive Mutation
1 Ripples of Potential
1 Ruin Crab
1 Sakura-Tribe Elder
1 Shifting Woodland
1 Six
1 Smuggler's Surprise
1 Sol Ring
1 Strip Mine

1 Swarmyard
1 Swiftfoot Boots
"1 Syr Konrad, the Grim"
1 Tear Asunder
1 The Gitrog Monster
1 The Great Henge
1 Three Visits
1 Toxic Deluge
"1 Ulamog, the Infinite Gyre"
1 Undead Alchemist
1 Undergrowth Stadium
1 V.A.T.S.
1 Verdant Catacombs
1 Walk-In Closet  // Forgotten Cellar
1 Walking Ballista
1 Waterlogged Grove
1 Watery Grave
1 Wave Goodbye
1 Winding Constrictor
1 Woodland Cemetery
1 Yavimaya Coast
1 Zagoth Triome
"1 Zellix, Sanity Flayer"

1 The Wise Mothman
